iter	Logloss
0	0.6730766384
1	0.652679282
2	0.6370383303
3	0.6201511147
4	0.6100400586
5	0.5976826192
6	0.5864542176
7	0.5760707561
8	0.566801767
9	0.5593599074
10	0.5516304098
11	0.5444679611
12	0.5374700805
13	0.5312750975
14	0.5262807729
15	0.5213569727
16	0.5173464136
17	0.5152225932
18	0.5114309412
19	0.5082277651
20	0.5049618162
21	0.5022173022
22	0.4994605991
23	0.496841537
24	0.493925103
25	0.4919024181
26	0.4898473381
27	0.487992951
28	0.4860832004
29	0.4839867173
30	0.4826614776
31	0.4810886878
32	0.479628512
33	0.4781834092
34	0.4771516839
35	0.4761893409
36	0.4752942759
37	0.4740662602
38	0.47293771
39	0.4719696216
40	0.4709842963
41	0.469700213
42	0.4688307931
43	0.4676834456
44	0.466733689
45	0.4659992129
46	0.4650510279
47	0.4641879791
48	0.4632524941
49	0.4625464264
50	0.4615364776
51	0.4604408635
52	0.4595325849
53	0.458555429
54	0.4579204223
55	0.4571197504
56	0.4563318171
57	0.4562018786
58	0.4556009927
59	0.4550953223
60	0.4545154619
61	0.4536276708
62	0.4529141582
63	0.4525303251
64	0.4520640556
65	0.4515850628
66	0.4510731924
67	0.4505010736
68	0.4503593384
69	0.4495968866
70	0.4490082035
71	0.4487147109
72	0.4483324794
73	0.4483072726
74	0.44811138
75	0.4475465307
76	0.4472883411
77	0.4466899586
78	0.446395696
79	0.4458457178
80	0.4453027965
81	0.4449062889
82	0.4448913066
83	0.4442127863
84	0.4437054115
85	0.4432148732
86	0.4429840352
87	0.4423406595
88	0.442145706
89	0.44172351
90	0.441172535
91	0.4409963281
92	0.4409859289
93	0.4404800792
94	0.4399200069
95	0.439734127
96	0.4390421708
97	0.4387358747
98	0.438436214
99	0.4381576016
100	0.4377427043
101	0.4371452654
102	0.4368777425
103	0.4365271821
104	0.4357842213
105	0.4355592964
106	0.4350675887
107	0.4346697548
108	0.434306115
109	0.433909736
110	0.4333693684
111	0.432775762
112	0.4324163787
113	0.4320894947
114	0.4318089032
115	0.4313503109
116	0.4310721185
117	0.4303956565
118	0.4299801488
119	0.4295633659
120	0.4292936279
121	0.4288887743
122	0.4285324325
123	0.4280428826
124	0.4275703407
125	0.4270065976
126	0.4265740958
127	0.4261138888
128	0.4258240767
129	0.4253869403
130	0.4253742474
131	0.4249778935
132	0.4247530156
133	0.4245091477
134	0.4241844152
135	0.4238164516
136	0.4234138266
137	0.4224112332
138	0.4218231726
139	0.4215443787
140	0.421160906
141	0.4208795029
142	0.4206392435
143	0.4205765544
144	0.4201697371
145	0.4198961756
146	0.419617042
147	0.4191032863
148	0.4187837871
149	0.4183571589
150	0.4180310367
151	0.4176762334
152	0.4172422739
153	0.4166403267
154	0.4162997656
155	0.416026448
156	0.4156278785
157	0.4154283394
158	0.4152344206
159	0.4149212882
160	0.4145452729
161	0.4138843263
162	0.4135985509
163	0.4133938673
164	0.4128200164
165	0.4123635331
166	0.4120994013
167	0.4116963925
168	0.411449241
169	0.4112485375
170	0.4109166958
171	0.4105594028
172	0.4100699332
173	0.4097656699
174	0.4093032439
175	0.4088641621
176	0.4084000235
177	0.4082103987
178	0.4077572746
179	0.4073079401
180	0.407038349
181	0.4066653027
182	0.4063916093
183	0.4060452753
184	0.4056293068
185	0.405337633
186	0.4048859534
187	0.404603925
188	0.4042741701
189	0.4039898244
190	0.4036409945
191	0.4032344814
192	0.4026139259
193	0.4022836535
194	0.40195989
195	0.4016121334
196	0.4012011664
197	0.4007050793
198	0.4004674663
199	0.4002237477
200	0.3999570288
201	0.399609143
202	0.3993925913
203	0.3990584908
204	0.3984882606
205	0.3980070969
206	0.3975675316
207	0.3971556784
208	0.3967168049
209	0.3962739391
210	0.3959124112
211	0.3956880082
212	0.3953198155
213	0.3949649398
214	0.3945817111
215	0.3942801801
216	0.3938705275
217	0.3935254152
218	0.3930325585
219	0.3926986864
220	0.3922806416
221	0.3918106146
222	0.3915916125
223	0.3911954071
224	0.3908968473
225	0.3904952594
226	0.3898363837
227	0.3894723858
228	0.3892300525
229	0.3889768178
230	0.3886574843
231	0.3883313016
232	0.3879757819
233	0.3875437229
234	0.387179041
235	0.386789605
236	0.3865205596
237	0.3861920545
238	0.3858354753
239	0.3856242584
240	0.3852910605
241	0.3845977934
242	0.3842048304
243	0.3839127131
244	0.3836211566
245	0.3831515212
246	0.3827197946
247	0.3821612648
248	0.381753966
249	0.381467992
250	0.3810917859
251	0.3808828734
252	0.3806050422
253	0.3800163169
254	0.3797853021
255	0.3794947445
256	0.379252835
257	0.3790984274
258	0.3789230777
259	0.3784791881
260	0.378258425
261	0.3778699023
262	0.3775661489
263	0.3773277402
264	0.3770819691
265	0.3766898346
266	0.3760596053
267	0.3756952802
268	0.3755278006
269	0.3750903413
270	0.3746205336
271	0.3741941635
272	0.3737113874
273	0.3730501161
274	0.3726832444
275	0.3724975346
276	0.3720678819
277	0.3716061487
278	0.3710464087
279	0.3706108587
280	0.3700923102
281	0.3697979028
282	0.3695907169
283	0.3694160028
284	0.3690184174
285	0.3687067385
286	0.3685898635
287	0.3683402181
288	0.3681645287
289	0.3677772686
290	0.3676384102
291	0.3672942193
292	0.3669990497
293	0.3667416863
294	0.366562642
295	0.3661714215
296	0.3656794587
297	0.3653429452
298	0.364848082
299	0.3645407447
