iter	Passed	Remaining
0	193	57818
1	209	31161
2	225	22310
3	242	17921
4	254	14991
5	270	13274
6	287	12020
7	302	11027
8	311	10081
9	319	9257
10	325	8560
11	331	7965
12	336	7430
13	340	6964
14	345	6560
15	349	6201
16	354	5897
17	356	5590
18	360	5335
19	364	5098
20	367	4884
21	370	4686
22	374	4506
23	377	4343
24	380	4190
25	384	4050
26	387	3922
27	391	3803
28	394	3690
29	398	3583
30	401	3482
31	404	3386
32	407	3297
33	410	3214
34	413	3133
35	417	3059
36	420	2986
37	423	2918
38	426	2854
39	429	2792
40	432	2733
41	435	2676
42	438	2623
43	442	2572
44	445	2523
45	448	2475
46	451	2429
47	454	2385
48	457	2345
49	461	2307
50	464	2270
51	468	2233
52	471	2197
53	474	2163
54	478	2131
55	481	2098
56	484	2067
57	487	2034
58	491	2006
59	494	1978
60	498	1951
61	501	1923
62	504	1897
63	507	1872
64	511	1848
65	514	1823
66	517	1799
67	521	1777
68	523	1751
69	526	1730
70	529	1708
71	532	1687
72	536	1667
73	537	1643
74	540	1622
75	544	1603
76	547	1585
77	550	1567
78	554	1550
79	557	1532
80	560	1515
81	563	1498
82	565	1478
83	568	1462
84	572	1447
85	575	1431
86	578	1416
87	581	1401
88	584	1386
89	588	1372
90	591	1358
91	594	1344
92	596	1327
93	599	1314
94	603	1301
95	606	1289
96	609	1276
97	613	1264
98	617	1253
99	622	1245
100	627	1236
101	632	1228
102	638	1221
103	642	1211
104	647	1202
105	653	1196
106	658	1188
107	663	1178
108	667	1169
109	672	1161
110	676	1152
111	681	1143
112	686	1135
113	691	1127
114	695	1118
115	699	1110
116	704	1102
117	709	1093
118	713	1085
119	719	1078
120	725	1072
121	729	1063
122	733	1056
123	738	1048
124	745	1043
125	749	1035
126	753	1026
127	757	1018
128	761	1009
129	766	1002
130	768	991
131	772	983
132	776	974
133	780	966
134	784	958
135	788	950
136	792	942
137	796	934
138	800	926
139	804	919
140	808	911
141	812	903
142	816	895
143	819	888
144	823	880
145	827	872
146	830	864
147	834	856
148	837	848
149	840	840
150	844	833
151	848	826
152	852	819
153	856	812
154	860	804
155	865	798
156	868	791
157	872	784
158	876	776
159	879	769
160	883	762
161	887	755
162	890	748
163	894	741
164	897	734
165	900	727
166	903	719
167	906	712
168	910	705
169	913	698
170	916	691
171	919	683
172	922	676
173	925	669
174	928	663
175	931	656
176	934	649
177	937	642
178	940	635
179	943	629
180	946	622
181	949	615
182	952	609
183	955	602
184	958	596
185	961	589
186	964	583
187	967	576
188	971	570
189	974	564
190	977	557
191	980	551
192	983	545
193	986	539
194	989	532
195	993	527
196	996	520
197	999	514
198	1002	508
199	1005	502
200	1008	496
201	1011	490
202	1014	484
203	1016	478
204	1019	472
205	1023	466
206	1026	461
207	1029	455
208	1032	449
209	1035	443
210	1038	437
211	1041	432
212	1044	426
213	1047	420
214	1050	415
215	1052	409
216	1056	403
217	1059	398
218	1062	392
219	1065	387
220	1068	381
221	1071	376
222	1074	370
223	1076	365
224	1079	359
225	1082	354
226	1085	349
227	1088	343
228	1092	338
229	1094	333
230	1098	328
231	1101	322
232	1105	317
233	1108	312
234	1111	307
235	1114	302
236	1117	297
237	1120	291
238	1123	286
239	1126	281
240	1129	276
241	1132	271
242	1135	266
243	1138	261
244	1141	256
245	1144	251
246	1147	246
247	1150	241
248	1153	236
249	1156	231
250	1159	226
251	1162	221
252	1165	216
253	1168	211
254	1171	206
255	1175	201
256	1178	197
257	1181	192
258	1184	187
259	1187	182
260	1191	177
261	1194	173
262	1197	168
263	1199	163
264	1203	158
265	1206	154
266	1209	149
267	1212	144
268	1215	140
269	1218	135
270	1221	130
271	1224	126
272	1228	121
273	1231	116
274	1234	112
275	1237	107
276	1240	103
277	1243	98
278	1246	93
279	1249	89
280	1252	84
281	1255	80
282	1258	75
283	1261	71
284	1264	66
285	1268	62
286	1270	57
287	1273	53
288	1276	48
289	1279	44
290	1283	39
291	1286	35
292	1289	30
293	1292	26
294	1295	21
295	1298	17
296	1301	13
297	1304	8
298	1307	4
299	1312	0
